numero,client_reference,claim_number,liquidation_number,estado,disabled,fecha_creacion
69,202604198,101185/01/2025/017,L-000001546,Liquidación,no,2026-08-25T13:08:30.715057+00:00
70,202601882,10761937,L-000001547,Liquidación,no,2026-08-25T13:08:33.869323+00:00
71,202604318,226012275,L-000001548,Liquidación,no,2026-08-25T13:08:37.155725+00:00
72,202604351,226012317,L-000001549,Liquidación,no,2026-08-25T13:08:39.618347+00:00
73,202604489,2610021842,L-000001550,Liquidación,no,2026-08-25T13:08:42.90411+00:00
74,202604577,2611022001,L-000001551,Liquidación,no,2026-08-25T13:08:45.413537+00:00
75,202604675,2610022034,L-000001552,Liquidación,no,2026-08-25T13:08:48.645093+00:00
76,202604804,13226000001948,L-000001553,Liquidación,no,2026-08-25T13:08:51.830863+00:00
77,202604863,20526000000091,L-000001554,Liquidación,no,2026-08-25T13:08:55.165516+00:00
78,202604943,13-530621,L-000001555,Liquidación,no,2026-08-25T13:08:58.528167+00:00
79,202604944,13-530626,L-000001556,Liquidación,no,2026-08-25T13:09:01.82275+00:00
80,202604967,13-530660,L-000001557,Liquidación,no,2026-08-25T13:09:04.300923+00:00
81,202604972,453151,L-000001558,Liquidación,no,2026-08-25T13:09:07.579738+00:00
82,202604973,453153,L-000001559,Liquidación,no,2026-08-25T13:09:10.880802+00:00
83,202604974,453154,L-000001560,Liquidación,no,2026-08-25T13:09:14.162104+00:00
84,202604979,453160,L-000001561,Liquidación,no,2026-08-25T13:09:17.491246+00:00
85,202605813,226015402,L-000001562,Liquidación,no,2026-08-25T13:09:20.738604+00:00
86,202605814,226015403,L-000001563,Liquidación,no,2026-08-25T13:09:23.132126+00:00
87,202605815,226015404,L-000001564,Liquidación,no,2026-08-25T13:09:25.789026+00:00
88,202605820,226015410,L-000001565,Liquidación,no,2026-08-25T13:09:28.206757+00:00
89,202605821,226015411,L-000001566,Liquidación,no,2026-08-25T13:09:31.513754+00:00
90,202605822,226012440,L-000001567,Liquidación,no,2026-08-25T13:09:34.727136+00:00
91,202605823,226012427,L-000001568,Liquidación,no,2026-08-25T13:09:38.083418+00:00
92,202605827,01-41-000925,L-000001569,Liquidación,no,2026-08-25T13:09:41.353185+00:00
