client_reference,claim_number,liquidation_number,claim_id,gestiones_activas,gestiones_total,inspecciones_total,inspecciones_activas,prioridad,accion,motivo
202605491,226015044,L-000000978,a04a0724-3b97-4fb7-94ed-6d78562eda4d,1,1,0,0,1,MANTENER,Gestiones activas
202605491,226015044,L-000001118,6cce866b-6859-44c3-9174-4bcb3b2d3624,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605492,226015063,L-000000916,e2d24fc2-ad13-466b-8690-0b02a187751e,1,1,0,0,1,MANTENER,Gestiones activas
202605492,226015063,L-000001287,f2a36ebd-06c8-4ae1-899a-21f50f4df79c,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605494,226015037,L-000000952,7ebcfde8-d7e4-480c-a8bf-ec2f75fee883,1,1,0,0,1,MANTENER,Gestiones activas
202605494,226015037,L-000001272,175ad8d2-f8f3-4eaf-9823-94b0ceba3723,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605495,226015045,L-000001010,6e8c7189-da7e-4ed0-b08f-889b157760e6,1,1,0,0,1,MANTENER,Gestiones activas
202605495,226015045,L-000001271,cd82e9fc-601f-4604-b45c-33e1bc47b701,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605496,226015078,L-000000967,349e4a98-c34e-4490-bc34-94ff13f9b14c,1,1,0,0,1,MANTENER,Gestiones activas
202605496,226015078,L-000001093,96dc78da-66e3-474f-9b7d-acaa8535662b,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605498,226015046,L-000000933,e25ed370-d8cf-407d-98bd-c839975bebbb,1,1,0,0,1,MANTENER,Gestiones activas
202605498,226015046,L-000001274,77bb8205-2ed3-4ab3-8434-cfb6e12cc08f,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605499,226015031,L-000000999,a5ec0734-39ee-450c-91cd-adc231fed7f2,2,2,1,1,1,MANTENER,Inspeccion (prioridad max)
202605499,226015031,L-000001134,4cec923c-5d98-4c01-92f8-4776b3e9e779,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605500,226015096,L-000001166,c8f14c63-d44f-488b-b146-0f074f96a2f5,2,2,1,1,1,MANTENER,Inspeccion (prioridad max)
202605500,226015096,L-000001006,2db81745-76dd-41ce-a8d1-132d74cdd590,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605502,226015066,L-000000960,7ff97038-0f47-45a8-b3d1-78243bea90f6,1,1,0,0,1,MANTENER,Gestiones activas
202605502,226015066,L-000001117,2b822552-386b-4df0-be05-94f85ce9808a,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605503,226015039,L-000000968,1f236290-478d-4474-8e6c-377b9a54fbf6,1,1,0,0,1,MANTENER,Gestiones activas
202605503,226015039,L-000001098,82956432-a6c6-4276-9907-2d7fce47edcd,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605504,226015072,L-000000993,482d31ae-972f-469d-900e-604272d6d288,1,1,0,0,1,MANTENER,Gestiones activas
202605504,226015072,L-000001072,e4270c11-11a2-40fa-843d-1ad9f293b8ed,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605505,226015079,L-000000986,5d3f1048-c38a-4875-816b-37b935212d53,1,1,0,0,1,MANTENER,Gestiones activas
202605505,226015079,L-000001273,a1335c6d-7cf3-4840-a53b-daaef751982c,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605506,226015069,L-000000911,114e3cd9-d902-4726-88b8-8b02c28bb7c2,1,1,0,0,1,MANTENER,Gestiones activas
202605506,226015069,L-000001183,fe0d8b9f-c22d-4e53-b461-6bcb25f169ee,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605507,226015067,L-000000926,ef4aa341-177a-43d9-a157-ada7d04307c5,1,1,0,0,1,MANTENER,Gestiones activas
202605507,226015067,L-000001194,f5a124c9-9a06-4371-ab5e-9a6fc7258585,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605510,226015077,L-000000975,edd3b53d-c962-4887-86ec-88239670e3ef,1,1,0,0,1,MANTENER,Gestiones activas
202605510,226015077,L-000001074,8d30bc6e-ceef-4662-ac77-1984bf0cb539,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605521,226015107,L-000000934,5f44c8c3-5bfa-4d58-857f-02318bd94255,1,1,0,0,1,MANTENER,Gestiones activas
202605521,226015107,L-000001130,b70e7011-c809-4b0a-92c4-2aeea6ca2614,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605523,Pendiente 562437,L-000000982,891bb3be-84e3-4e6c-88c6-c49c44f1f5a8,1,1,0,0,1,MANTENER,Gestiones activas
202605523,1709626,L-000001254,d386a26a-c123-4de7-aefb-2981b2839bbe,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605551,226015136,L-000000909,538a7b81-2d88-4bf8-aa43-e1205f857712,1,1,0,0,1,MANTENER,Gestiones activas
202605551,226015136,L-000001276,aff37253-ef19-4d11-a199-24ae20953544,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
202605557,226015142,L-000000941,863f64b8-6b5e-4bbc-aa76-4711f6624c30,2,2,1,1,1,MANTENER,Inspeccion (prioridad max)
202605557,226015142,L-000001231,4d4e960f-386c-490c-a918-d541ea4c1b84,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
CHL-00000682,1976596,L-000000588,0512a437-368b-427f-af21-a73bde3ad588,6,6,2,0,1,MANTENER,Inspeccion (prioridad max)
CHL-00000682,1976596,L-000000591,f497fd2f-4bb3-4ffc-9c18-d971f4f6fcd6,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
CHL-00000749,10843452,L-000000824,fc4267f0-0921-4978-bbe9-8f250d68244c,2,2,1,1,1,MANTENER,Inspeccion (prioridad max)
CHL-00000749,10843452,L-000001029,68819409-1e4d-4b62-8836-6b80347e4f6b,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
CHL-00001048,10853614,L-000000710,c5be6815-3743-45d7-a53d-9da317bf6c8b,2,2,1,0,1,MANTENER,Inspeccion (prioridad max)
CHL-00001048,10853614,L-000000822,ec6e79c1-e539-4460-909c-95a1e9f6d8ed,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
CHL-00001619,10873593,L-000000598,4ad7f0a0-47c6-4d8a-bf25-346d39d382f2,2,2,1,0,1,MANTENER,Inspeccion (prioridad max)
CHL-00001619,10873593,L-000000589,c31024a3-7702-46e9-8523-decbee20dd29,0,0,0,0,2,DESACTIVAR,Sin actividad
CHL-00001621,10874523,L-000000599,a5831fe7-ea91-41d8-aaa8-a9053426b49c,2,2,1,0,1,MANTENER,Inspeccion (prioridad max)
CHL-00001621,10874523,L-000000590,28e863fc-bf9c-4dbc-a00b-895bf994219d,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
CHL-00001649,10876352,L-000000645,3a7c4ad8-da3c-48ed-936d-b7023ae0f8f4,1,1,0,0,1,MANTENER,Gestiones activas
CHL-00001649,10876352,L-000000650,8b7342d3-f6cc-4f59-9d72-cfa7b09261c6,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
CHL-00001697,10879820,L-000000663,ce85cd33-d8cd-4cdc-8665-9cd3f2039df2,2,2,1,0,1,MANTENER,Inspeccion (prioridad max)
CHL-00001697,10879820,L-000000774,4ea2baa5-0a8b-40e7-b2ee-bea2a424e603,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
CHL-00001779,10883211,L-000000866,928f7496-fd80-4746-8c09-dec3d49ad240,2,2,1,1,1,MANTENER,Inspeccion (prioridad max)
CHL-00001779,10883211,L-000001294,af73c154-4d99-49c5-a127-09eb448b8f1c,1,1,0,0,2,DESACTIVAR,"Con gestiones, sin inspeccion"
